month,exercise,exercise_template_id,max_volume_kg,max_weight_kg,e1rm_kg
2021-08,Deadlift (Barbell),C6272009,800.00,120.00,144.00
2021-08,Deadlift (Smith Machine),20870ED5,1320.00,110.00,154.00
2021-08,Hammer Curl (Dumbbell),7E3BC8B6,125.00,15.00,18.00
2021-08,Hip Thrust (Barbell),D57C2EC7,360.00,30.00,42.00
2021-08,Incline Bench Press (Barbell),50DFDFAB,560.00,100.00,110.00
2021-08,Kettlebell Goblet Squat,A127DA73,360.00,35.00,46.67
2021-08,Lat Pulldown (Cable),6A6C31A5,948.00,79.00,110.60
2021-08,Lateral Raise (Dumbbell),422B08F1,150.00,12.50,17.50
2021-08,Leg Extension (Machine),75A4F6C4,730.00,73.00,97.33
2021-08,Leg Press (Machine),C7973E0E,2800.00,280.00,373.33
2021-08,Overhead Press (Dumbbell),6AC96645,200.00,20.00,26.67
2021-08,Overhead Press (Smith Machine),B09A1304,400.00,60.00,70.00
2021-08,Preacher Curl (Barbell),4F942934,340.00,42.50,53.83
2021-08,Rear Delt Reverse Fly (Machine),D8281C62,400.00,54.00,63.33
2021-08,Seated Bicep Curl (Dumbbell),ba15b8a7-ae04-41db-a22f-23f84aa9ca48,80.00,10.00,12.67
2021-08,Seated Cable Row - V Grip (Cable),0393F233,560.00,70.00,88.67
2021-08,Seated Leg Curl (Machine),11A123F3,1360.00,68.00,113.33
2021-08,Seated Tricep Extensions (Dumbbell),3f6150ac-f51f-40a8-8e1f-435798db8375,60.00,10.00,12.00
2021-08,Serratus Jab (Cable),93420a71-bea7-4a62-9ba7-c46171c7e3d6,105.00,8.75,12.25
2021-08,Shrug (Dumbbell),ABEC557F,330.00,27.50,38.50
2021-08,Single Arm Lat Pulldown,2EE45F81,190.00,23.75,30.08
2021-08,Skullcrusher (Dumbbell),68F8A292,228.00,25.00,31.67
2021-08,Squat (Barbell),D04AC939,720.00,100.00,123.33
2021-08,Standing Calf Raise (Smith Machine),90d36892-390d-4868-939f-15511ed2aa6f,900.00,60.00,90.00
2021-08,Triceps Extension (Barbell),2F8D3067,337.50,27.50,38.50
2021-08,Triceps Extension (Cable),21310F5F,112.50,11.25,15.00
2021-08,Triceps Pushdown,93A552C6,262.50,31.25,36.46
2021-09,Arnold Press (Dumbbell),A69FF221,125.00,12.50,16.67
2021-09,Back Extension (Weighted Hyperextension),091737FA,200.00,20.00,26.67
2021-09,Bench Press (Barbell),79D0BB3A,720.00,80.00,88.00
2021-09,Bench Press (Dumbbell),3601968B,260.00,32.50,41.17
2021-09,Bent Over Row (Barbell),55E6546F,1200.00,60.00,100.00
2021-09,Bicep Curl (Dumbbell),37FCC2BB,225.00,20.00,25.33
2021-09,Cable Crunch,23A48484,460.00,28.75,44.08
2021-09,Cable Fly (Lower),995d2e07-5f8d-47e1-809f-5f2107faa6d8,115.50,8.75,12.10
2021-09,Cable Pull Through,8C331CD8,787.50,33.75,52.71
2021-09,Cable Twist (Up to down),A2D838BD,318.75,21.25,31.88
2021-09,Chest Dip (Assisted),E9E4089F,640.00,80.00,101.33
2021-09,Chest Fly (Machine),78683336,1155.00,77.00,115.50
2021-09,Chest Supported Incline Row (Dumbbell),914F3A96,180.00,15.00,21.00
2021-09,Chin Up (Assisted),D23C609B,1080.00,90.00,126.00
2021-09,Deadlift (Barbell),C6272009,1080.00,120.00,133.33
2021-09,Deadlift (Smith Machine),20870ED5,1200.00,80.00,120.00
2021-09,Dumbbell Row,F1E57334,180.00,15.00,21.00
2021-09,Front Raise (Cable),DBB91A3C,75.00,6.25,8.75
2021-09,Hammer Curl (Dumbbell),7E3BC8B6,300.00,17.50,24.50
2021-09,Hip Thrust (Barbell),D57C2EC7,950.00,60.00,90.00
2021-09,Incline Bench Press (Barbell),50DFDFAB,600.00,80.00,93.33
2021-09,Incline Bench Press (Dumbbell),07B38369,180.00,22.50,28.50
2021-09,Incline Bench Press (Smith Machine),3A6FA3D1,720.00,80.00,96.00
2021-09,Incline Dumbbell Overhead Extensions,e29ac341-972c-4883-9932-a182ad358ddb,165.00,13.75,19.25
2021-09,Isolated Hammer Curl,97327dc4-bee8-4765-8ee7-de4dbb8ff996,125.00,15.00,18.00
2021-09,Kettlebell Goblet Squat,A127DA73,450.00,37.50,52.50
2021-09,Lat Pulldown (Cable),6A6C31A5,1050.00,79.00,105.00
2021-09,Lateral Raise (Dumbbell),422B08F1,160.00,12.50,16.67
2021-09,Leg Extension (Machine),75A4F6C4,1296.00,54.00,97.20
2021-09,Leg Press (Machine),C7973E0E,3760.00,235.00,360.33
2021-09,Overhead Press (Dumbbell),6AC96645,140.00,20.00,24.67
2021-09,Overhead Press (Smith Machine),B09A1304,480.00,60.00,76.00
2021-09,Preacher Curl (Barbell),4F942934,45.00,22.50,24.00
2021-09,Seated Bicep Curl (Dumbbell),ba15b8a7-ae04-41db-a22f-23f84aa9ca48,150.00,12.50,17.50
2021-09,Seated Cable Row - V Grip (Cable),0393F233,1330.00,70.00,114.33
2021-09,Seated Leg Curl (Machine),11A123F3,1180.00,59.00,98.33
2021-09,Serratus Jab (Cable),93420a71-bea7-4a62-9ba7-c46171c7e3d6,135.00,11.25,15.75
2021-09,Shoulder Press (Dumbbell),878CD1D0,157.50,25.00,27.75
2021-09,Shrug (Smith Machine),742E5BD5,840.00,60.00,88.00
2021-09,Single Arm Lat Pulldown,2EE45F81,285.00,23.75,33.25
2021-09,Single Seated Row (Cable),fbe3566a-c1e5-43fb-9b1f-3fd2726959fd,516.00,43.00,60.20
2021-09,Squat (Barbell),D04AC939,1200.00,120.00,160.00
2021-09,Standing Calf Raise (Smith Machine),90d36892-390d-4868-939f-15511ed2aa6f,720.00,60.00,84.00
2021-09,Triceps Extension (Cable),21310F5F,131.25,11.25,14.63
2021-09,Triceps Pushdown,93A552C6,406.25,31.25,44.79
2021-09,Triceps Pushdown (Cable - Rope),9635a015-e485-4e54-a0cf-29ad5e85e0fa,315.00,31.25,40.63
2021-10,Alternate Grip Seated Overhead Press (Dumbbell),02aa3dc5-9bf2-425b-9f5e-14fe46f29181,175.00,17.50,23.33
2021-10,Arnold Press (Dumbbell),A69FF221,150.00,12.50,17.50
2021-10,Back Extension (Weighted Hyperextension),091737FA,180.00,15.00,21.00
2021-10,Bench Press (Barbell),79D0BB3A,720.00,100.00,108.00
2021-10,Bench Press (Dumbbell),3601968B,330.00,32.50,41.17
2021-10,Bent Over Row (Smith Machine),15722552-bae0-4273-a127-72ebb8e73859,720.00,70.00,93.33
2021-10,Bicep Curl (Dumbbell),37FCC2BB,240.00,20.00,28.00
2021-10,Cable Crossover (High),bf83e68e-b6a0-47ca-aa48-68b048950e59,225.00,13.75,19.71
2021-10,Cable Crossover (Low),ed312223-c6b3-4721-a554-f8e1fe5a40fa,87.50,11.25,13.50
2021-10,Cable Crunch,23A48484,345.00,28.75,40.25
2021-10,Cable Fly (Lower),995d2e07-5f8d-47e1-809f-5f2107faa6d8,135.00,16.25,17.88
2021-10,Cable Fly Crossovers,651F844C,151.25,13.75,18.79
2021-10,Cable Pull Through,8C331CD8,618.75,41.25,61.88
2021-10,Cable Twist (Up to down),A2D838BD,255.00,23.75,31.67
2021-10,Chest Fly (Machine),78683336,1155.00,77.00,115.50
2021-10,Chest Press (Machine),7EB3F7C3,228.00,70.00,72.33
2021-10,Chest Supported Incline Row (Dumbbell),914F3A96,270.00,22.50,31.50
2021-10,Close Grip Vertical Dumbbell Press,efb7074a-d932-4248-8397-d99d58fb71f5,75.00,12.50,15.00
2021-10,Deadlift (Barbell),C6272009,640.00,90.00,105.00
2021-10,Deadlift (Smith Machine),20870ED5,1200.00,100.00,133.33
2021-10,Deadlift (Trap bar),B923B230,900.00,140.00,168.00
2021-10,Dumbbell Row,F1E57334,275.00,27.50,36.67
2021-10,Face Pull,BE640BA0,285.00,23.75,33.25
2021-10,Hip Thrust (Barbell),D57C2EC7,975.00,100.00,120.00
2021-10,Incline Bench Press (Dumbbell),07B38369,375.00,32.20,40.79
2021-10,Incline Bench Press (Smith Machine),3A6FA3D1,660.00,60.00,82.00
2021-10,Incline Dumbbell Overhead Extensions,e29ac341-972c-4883-9932-a182ad358ddb,195.00,18.75,22.75
2021-10,Isolated Bent Over Bicep Curl,751c1f17-4437-4b16-bba9-20b325352603,210.00,17.50,24.50
2021-10,Isolated Bicep Curl,5394fbc4-5d1c-404e-a662-41af1591ce0e,180.00,15.00,21.00
2021-10,Isolated Hammer Curl,97327dc4-bee8-4765-8ee7-de4dbb8ff996,150.00,12.50,17.50
2021-10,Lat Pulldown (Cable),6A6C31A5,790.00,79.00,105.33
2021-10,Lateral Raise (Cable),BE289E45,75.00,6.25,8.75
2021-10,Lateral Raise (Dumbbell),422B08F1,75.00,5.00,7.50
2021-10,One Arm Reverse Fly (Cable),a345583f-65b4-4e9b-9857-ff61a45b9bc5,75.00,6.25,8.75
2021-10,Overhead Press (Dumbbell),6AC96645,225.00,22.50,30.00
2021-10,Romanian Deadlift (Barbell),2B4B7310,720.00,100.00,120.00
2021-10,Seated Cable Row - V Grip (Cable),0393F233,948.00,89.00,112.73
2021-10,Seated Leg Curl (Machine),11A123F3,660.00,55.00,77.00
2021-10,Serratus Jab (Cable),93420a71-bea7-4a62-9ba7-c46171c7e3d6,105.00,8.75,12.25
2021-10,Shoulder Press (Dumbbell),878CD1D0,400.00,22.50,33.75
2021-10,Single Arm Lat Pulldown,2EE45F81,285.00,26.25,33.25
2021-10,Single Seated Row (Cable),fbe3566a-c1e5-43fb-9b1f-3fd2726959fd,408.00,34.00,47.60
2021-10,Squat (Barbell),D04AC939,1100.00,120.00,152.00
2021-10,Standing Calf Raise (Smith Machine),90d36892-390d-4868-939f-15511ed2aa6f,1080.00,90.00,126.00
2021-10,Stiff Leg Deadlift (Dumbbell),bafb2cec-3353-48c9-8ea2-88f225557aca,100.00,12.50,15.83
2021-10,Stiff Leg Deadlift (Smith Machine),f409d012-caae-47bb-bd1f-2d5e007522b8,600.00,50.00,70.00
2021-10,Tricep Extension (Single),ef68e990-624d-4403-b919-7c00fcefb78b,135.00,11.25,15.75
2021-10,Triceps Pushdown,93A552C6,345.00,31.25,42.71
2021-11,Back Extension (Weighted Hyperextension),091737FA,60.00,5.00,7.00
2021-11,Bench Press (Dumbbell),3601968B,408.00,30.00,39.00
2021-11,Bent Over Row (Smith Machine),15722552-bae0-4273-a127-72ebb8e73859,600.00,70.00,88.67
2021-11,Bicep Curl (Dumbbell),37FCC2BB,180.00,12.50,16.25
2021-11,Butterfly (Pec Deck),9DCE2D64,972.00,68.00,95.20
2021-11,Cable Pull Through,8C331CD8,495.00,41.25,57.75
2021-11,Chest Supported Incline Row (Dumbbell),914F3A96,270.00,22.50,31.50
2021-11,Deadlift (Barbell),C6272009,640.00,120.00,136.00
2021-11,Deadlift (Smith Machine),20870ED5,1080.00,60.00,96.00
2021-11,Deadlift (Trap bar),B923B230,1080.00,60.00,96.00
2021-11,Face Pull,BE640BA0,382.50,21.25,34.00
2021-11,Hammer Curl (Dumbbell),7E3BC8B6,190.00,10.00,16.33
2021-11,Hip Thrust (Barbell),D57C2EC7,1050.00,85.00,113.33
2021-11,Incline Bench Press (Dumbbell),07B38369,275.00,30.00,36.67
2021-11,Lat Pulldown (Cable),6A6C31A5,1098.00,70.00,98.00
2021-11,Lateral Raise (Cable),BE289E45,75.00,6.25,8.75
2021-11,Lateral Raise (Dumbbell),422B08F1,108.00,7.50,10.50
2021-11,Leg Extension (Machine),75A4F6C4,900.00,54.00,81.00
2021-11,Overhead Press (Barbell),7B8D84E8,440.00,40.00,54.67
2021-11,Overhead Press (Dumbbell),6AC96645,270.00,20.00,26.67
2021-11,Preacher Curl (Barbell),4F942934,1800.00,225.00,285.00
2021-11,Seated Bicep Curl (Dumbbell),ba15b8a7-ae04-41db-a22f-23f84aa9ca48,120.00,10.00,14.00
2021-11,Seated Cable Row - V Grip (Cable),0393F233,936.00,61.00,91.50
2021-11,Seated Leg Curl (Machine),11A123F3,810.00,45.00,72.00
2021-11,Shrug (Dumbbell),ABEC557F,330.00,27.50,38.50
2021-11,Side Bend (Cable),9516983f-2dca-4e5d-a79f-49f4507b7cb7,247.50,13.75,22.00
2021-11,Side Pull (Cable),f8bd4b8f-0408-43bc-aaff-9627facf9d26,67.50,3.75,6.00
2021-11,Squat (Barbell),D04AC939,1080.00,100.00,120.00
2021-11,Standing Calf Raise (Smith Machine),90d36892-390d-4868-939f-15511ed2aa6f,1200.00,60.00,100.00
2021-11,Stiff Leg Deadlift (Smith Machine),f409d012-caae-47bb-bd1f-2d5e007522b8,400.00,50.00,63.33
2021-11,Triceps Extension (Cable),21310F5F,112.50,8.75,11.08
2021-11,Triceps Pushdown,93A552C6,340.00,21.25,32.58
2021-11,Triceps Pushdown (Cable - Rope),9635a015-e485-4e54-a0cf-29ad5e85e0fa,255.00,28.75,36.42
2021-11,Vertical Row (Cable Machine),4e254b99-91b5-4ca3-8c90-599e101f5fd7,877.50,48.75,78.00
2021-12,21s Easy Bar,69494449-4764-4886-8640-7e9a91643e13,315.00,15.00,25.50
2021-12,Back Extension (Weighted Hyperextension),091737FA,60.00,5.00,7.00
2021-12,Bench Press (Dumbbell),3601968B,300.00,30.00,40.00
2021-12,Bent Over Row (Barbell),55E6546F,900.00,70.00,98.00
2021-12,Bicep Curl (Barbell),A5AC6449,300.00,25.00,35.00
2021-12,Butterfly (Pec Deck),9DCE2D64,816.00,68.00,95.20
2021-12,Cable Crossover (High),bf83e68e-b6a0-47ca-aa48-68b048950e59,120.00,15.00,19.00
2021-12,Cable Crossover (Low),ed312223-c6b3-4721-a554-f8e1fe5a40fa,60.00,7.50,9.50
2021-12,Chest Supported Dumbbell Delt Flies,bfc1b156-0553-44b3-a0ea-9f3fba6be84e,187.50,12.50,18.75
2021-12,Chest Supported Incline Row (Dumbbell),914F3A96,270.00,22.50,31.50
2021-12,Chest Supported Rear Delt Row,05e90ae3-eab3-4c3e-bafc-4d9dea01742b,480.00,40.00,56.00
2021-12,Chin Up (Assisted),D23C609B,720.00,90.00,114.00
2021-12,Deadlift (Barbell),C6272009,900.00,60.00,90.00
2021-12,Deadlift (Smith Machine),20870ED5,800.00,100.00,126.67
2021-12,Face Pull,BE640BA0,360.00,30.00,42.00
2021-12,Glute Drive (Hip Thrust) Machine,16990248-5131-4341-86c7-255c5dbb2d41,1950.00,140.00,196.00
2021-12,Hammer Curl (Dumbbell),7E3BC8B6,150.00,12.50,17.50
2021-12,Incline Bench Press (Barbell),50DFDFAB,600.00,70.00,81.67
2021-12,Incline Bench Press (Dumbbell),07B38369,240.00,30.00,38.00
2021-12,Incline Dumbbell Overhead Extensions,e29ac341-972c-4883-9932-a182ad358ddb,150.00,12.00,16.00
2021-12,Lat Pulldown (Cable),6A6C31A5,650.00,75.00,95.00
2021-12,Lateral Raise (Cable),BE289E45,112.50,7.60,11.25
2021-12,Lateral Raise (Dumbbell),422B08F1,108.00,9.00,12.60
2021-12,Laying Face Pull (Cable),6bc6bf60-9147-4167-8e4d-fc3c3ef0861c,330.00,30.00,38.50
2021-12,Leg Extension (Machine),75A4F6C4,1032.00,86.00,120.40
2021-12,Lying Leg Curl (Machine),B8127AD1,780.00,65.00,91.00
2021-12,Overhead Press (Dumbbell),6AC96645,180.00,17.50,22.75
2021-12,Pull Up (Assisted),2C37EC5E,1200.00,100.00,140.00
2021-12,Reverse Grip Lat Pulldown (Cable),046E25A2,780.00,75.00,91.00
2021-12,Seated Bicep Curl (Dumbbell),ba15b8a7-ae04-41db-a22f-23f84aa9ca48,140.00,12.50,15.83
2021-12,Seated Cable Row - V Grip (Cable),0393F233,900.00,80.00,105.00
2021-12,Seated Calf Raise,062AB91A,840.00,60.00,88.00
2021-12,Seated Decline Cable Flies,c273ce52-ad69-40b6-ab54-9380e1b0d49d,97.50,7.50,10.75
2021-12,Seated Leg Curl (Machine),11A123F3,876.00,73.00,102.20
2021-12,Shoulder Press (Dumbbell),878CD1D0,210.00,22.50,28.50
2021-12,Shrug (Dumbbell),ABEC557F,480.00,40.00,56.00
2021-12,Single Seated Row (Cable),fbe3566a-c1e5-43fb-9b1f-3fd2726959fd,240.00,30.00,38.00
2021-12,Squat (Barbell),D04AC939,720.00,110.00,128.33
2021-12,Standing Calf Raise (Smith Machine),90d36892-390d-4868-939f-15511ed2aa6f,720.00,60.00,84.00
2021-12,Tricep Extension (Single),ef68e990-624d-4403-b919-7c00fcefb78b,120.00,12.50,14.00
2021-12,Triceps Dip (Assisted),4B4BF8C2,800.00,80.00,106.67
2021-12,Triceps Pushdown,93A552C6,330.00,30.00,38.50
2021-12,Triceps Pushdown (Cable - Rope),9635a015-e485-4e54-a0cf-29ad5e85e0fa,270.00,22.50,31.50
2022-01,Back Extension (Weighted Hyperextension),091737FA,160.00,20.00,25.33
2022-01,Bench Press (Barbell),79D0BB3A,490.00,80.00,90.67
2022-01,Bench Press (Dumbbell),3601968B,240.00,30.00,38.00
2022-01,Bent Over Row (Barbell),55E6546F,840.00,90.00,106.67
2022-01,Bicep Curl (Barbell),A5AC6449,300.00,25.00,35.00
2022-01,Bicep Curl (Barbell) (Overhand),d0a73700-1655-4f31-9174-a6247632e7f7,175.00,17.50,23.33
2022-01,Bicep Curl (Barbell) (Wide Grip),7c75e48a-9fd9-41d1-a1c1-42af6c1547f4,175.00,17.50,23.33
2022-01,Bicep Curl (Dumbbell),37FCC2BB,125.00,12.50,16.67
2022-01,Butterfly (Pec Deck),9DCE2D64,1155.00,77.00,115.50
2022-01,Cable Crossover (High),bf83e68e-b6a0-47ca-aa48-68b048950e59,206.25,13.75,20.63
2022-01,Cable Crossover (Low),ed312223-c6b3-4721-a554-f8e1fe5a40fa,131.25,8.75,13.13
2022-01,Cable Fly Crossovers,651F844C,131.25,8.75,13.13
2022-01,Cable Kickback,9979dffd-f7b0-4a2d-ab21-3cf9eef05fa1,105.00,8.75,12.25
2022-01,Cable Pull Through,8C331CD8,525.00,43.75,61.25
2022-01,Chest Supported Dumbbell Delt Flies,bfc1b156-0553-44b3-a0ea-9f3fba6be84e,125.00,12.50,16.67
2022-01,Chest Supported Dumbbell Rear Delt Row,00d24438-c2a1-4601-a91f-72313bbde437,225.00,15.00,22.50
2022-01,Chest Supported Incline Row (Dumbbell),914F3A96,270.00,22.50,31.50
2022-01,Chest Supported Rear Delt Row,05e90ae3-eab3-4c3e-bafc-4d9dea01742b,480.00,60.00,70.00
2022-01,Chin Up (Assisted),D23C609B,1020.00,85.00,119.00
2022-01,Deadlift (Barbell),C6272009,900.00,110.00,139.33
2022-01,Face Pull,BE640BA0,281.25,18.75,28.13
2022-01,Frog Thrusts,7835d15c-20a7-4e9f-aa5c-0e307ebf28bb,200.00,20.00,26.67
2022-01,Front Raise (Dumbbell),8293E554,90.00,7.50,10.50
2022-01,Glute Drive (Hip Thrust) Machine,16990248-5131-4341-86c7-255c5dbb2d41,1200.00,120.00,160.00
2022-01,Hammer Curl (Dumbbell),7E3BC8B6,175.00,17.50,23.33
2022-01,Hip Thrust (Barbell),D57C2EC7,900.00,60.00,90.00
2022-01,Incline Bench Press (Barbell),50DFDFAB,2480.00,80.00,102.67
2022-01,Incline Bench Press (Dumbbell),07B38369,110.00,30.00,33.00
2022-01,Incline Dumbbell Overhead Extensions,e29ac341-972c-4883-9932-a182ad358ddb,225.00,15.00,22.50
2022-01,Kettlebell Goblet Squat,A127DA73,300.00,30.00,40.00
2022-01,Lat Pulldown (Cable),6A6C31A5,462.00,77.00,92.40
2022-01,Lat Pulldown (Cable) (Behind Neck),b6c21f5b-4dc1-483d-825a-7cfa4bfeb7e2,610.00,61.00,81.33
2022-01,Lateral Raise (Cable),BE289E45,75.00,6.25,8.75
2022-01,Lateral Raise (Dumbbell),422B08F1,120.00,10.00,14.00
2022-01,Leg Extension (Machine),75A4F6C4,876.00,75.00,102.20
2022-01,Overhead Press (Dumbbell),6AC96645,175.00,17.50,23.33
2022-01,Pull Up (Assisted),2C37EC5E,1080.00,90.00,126.00
2022-01,Rear Delt Extensions,ed34caff-4682-4259-ab1e-0db1c3597fe4,60.00,5.00,7.00
2022-01,Reverse Grip Lat Pulldown (Cable),046E25A2,840.00,70.00,98.00
2022-01,Row/Rear Delt Machine,e8c42c7a-7698-420c-9fd5-50f768ebb3ed,540.00,45.00,63.00
2022-01,Seated Bicep Curl (Dumbbell),ba15b8a7-ae04-41db-a22f-23f84aa9ca48,150.00,12.50,17.50
2022-01,Seated Cable Row - V Grip (Cable),0393F233,924.00,77.00,107.80
2022-01,Seated Decline Cable Flies,c273ce52-ad69-40b6-ab54-9380e1b0d49d,131.25,8.75,13.13
2022-01,Shoulder Press (Dumbbell),878CD1D0,180.00,20.00,26.00
2022-01,Shrug (Dumbbell),ABEC557F,412.50,40.00,46.67
2022-01,Single Arm Lat Pulldown,2EE45F81,315.00,26.25,36.75
2022-01,Single Arm Rear Delt Cable Fly,f585c25b-c838-4361-806f-5114c2abf562,75.00,6.25,8.75
2022-01,Squat (Barbell),D04AC939,550.00,130.00,143.00
2022-01,Standing Calf Raise (Smith Machine),90d36892-390d-4868-939f-15511ed2aa6f,2000.00,100.00,166.67
2022-01,Triceps Dip (Assisted),4B4BF8C2,320.00,40.00,50.67
2022-01,Triceps Pushdown,93A552C6,281.25,21.25,29.75
